session,date,qqq_close,breadth_proxy,credit,cross_asset,trend,volatility,composite_z,risk_score,future_dd_5d,label_dd_5d,future_dd_10d,label_dd_10d,future_dd_20d,label_dd_20d
2016-01-04,2016-01-04 00:00:00+00:00,109.5,-1.1287298506430465,1.0932729622080402,0.3651228646388131,0.9738396407645656,0.590492344995651,0.3345427954349994,55.018141931524994,-0.05013696679241586,True,-0.0790867914347888,True,-0.08146117049265122,True
2016-01-05,2016-01-05 00:00:00+00:00,109.30999755859375,-1.4760317822297964,0.9548650950980432,0.4356523525722451,1.1637479685521261,0.22096263890506354,0.20065982863842832,53.00989742957643,-0.048485916574303345,True,-0.07830937471209176,True,-0.07986456794914387,False
2016-01-06,2016-01-06 00:00:00+00:00,108.26000213623047,-0.9763522741972386,1.0521344341217678,0.14877676611696916,1.4102874708527209,0.458869611128634,0.4255622848256479,56.38343427238472,-0.058747464297556284,True,-0.06937005346425318,True,-0.07094033025707447,False
2016-01-07,2016-01-07 00:00:00+00:00,104.87000274658203,-1.407963120938562,1.2484226547150434,-0.09835216293167551,2.2577994453071346,1.1133432903423455,0.6749770538104536,60.124655807156806,-0.02832078900465107,False,-0.039286761120222335,False,-0.0643654031011266,False
2016-01-08,2016-01-08 00:00:00+00:00,104.01000213623047,-1.0600229358595843,1.4883628788542642,0.0026273911391022763,2.3492559954270997,1.3424065623983343,0.888724892256309,63.33087338384463,-0.030477893791289623,True,-0.03134315997763926,False,-0.07105085316669013,False
2016-01-11,2016-01-11 00:00:00+00:00,104.33000183105469,-0.5450323068252901,1.300359101370563,0.1574379973950504,2.2627940355703466,0.86993138387329,0.8792423289745399,63.1886349346181,-0.03345160003749981,True,-0.0343142122900747,False,-0.07677563496261941,False
2016-01-12,2016-01-12 00:00:00+00:00,105.54000091552734,-0.2636332153615338,0.7975116398677476,-0.1392742193098143,1.7790785739344517,0.7022682271592054,0.6648898911176389,59.97334836676458,-0.04538564405889278,True,-0.04699639038702086,False,-0.08736025337049858,True
2016-01-13,2016-01-13 00:00:00+00:00,101.9000015258789,-0.47797190548753204,1.5668768571617537,-0.012450017822074139,2.68533919699521,1.1703612395322358,1.0980444404335101,66.47066660650265,-0.011285588897531507,False,-0.012953873160531648,False,-0.054759585353269746,False
2016-01-14,2016-01-14 00:00:00+00:00,104.06999969482422,0.07536222479668091,1.5115290597492883,-0.10110420540843305,2.1182171653003765,0.9706852245771422,1.0347272838487074,65.52090925773061,-0.03190160185029134,True,-0.033535100163386455,False,-0.0744691075499776,False
2016-01-15,2016-01-15 00:00:00+00:00,100.83999633789062,-0.2555701794213005,2.5012578374929855,0.8862237004083078,2.8953441775728557,1.3162063252048628,1.5120587021182896,72.68088053177435,-0.0008924666913817658,False,-0.0025782875473810973,False,-0.04482345108305019,False
2016-01-19,2016-01-19 00:00:00+00:00,101.05999755859375,0.0039039616720799586,2.082381926190368,0.8191098086896006,2.705398173022127,1.286213916817136,1.432955683144013,71.4943352471602,-0.00306746057869256,False,-0.004749611509348828,False,-0.046902809996817174,False
2016-01-20,2016-01-20 00:00:00+00:00,100.75,0.22433777837891702,2.220276421720745,0.6055709437788142,2.567067766964896,1.5893370465519667,1.5203311743683774,72.80496761552567,-0.0016873267389112545,False,-0.0016873267389112545,False,-0.04397022635410208,False
2016-01-21,2016-01-21 00:00:00+00:00,100.8499984741211,-0.09785709259214431,1.8126471149476704,0.6644161084536084,2.529490673838613,1.3509862806994117,1.3070766852863949,69.60615027929592,-0.0026772101849430463,False,-0.0026772101849430463,False,-0.04491818391508762,False
2016-01-22,2016-01-22 00:00:00+00:00,103.7699966430664,0.42976747811888066,1.3944905413167223,1.2238110919973457,1.8307161547561523,0.8929497060101518,1.1449900668838682,67.17485100325803,-0.030741012963354075,True,-0.05444727839703456,True,-0.0717933621398067,False
2016-01-25,2016-01-25 00:00:00+00:00,102.2300033569336,0.8692873857489664,2.11911636460353,1.125741089313502,2.1895183178154993,0.9736662916044623,1.4958320660640654,72.43748099096098,-0.01614009069448985,False,-0.054876263583445106,True,-0.057810852665970636,False
2016-01-26,2016-01-26 00:00:00+00:00,103.1500015258789,0.46336241178815357,1.6620617952037058,1.0846001067512812,1.9124281725346062,0.7824581093069585,1.1913116376579511,67.86967456486927,-0.024915168752367323,False,-0.06621426786252771,True,-0.06621426786252771,False
2016-01-27,2016-01-27 00:00:00+00:00,100.58000183105469,-0.31304790921514897,1.6416198037716285,0.9078893035966475,2.4327303211522007,0.8450829761366929,1.1180500893255922,66.77075133988389,0.010737739226419851,False,-0.04235436526821745,False,-0.04235436526821745,False
2016-01-28,2016-01-28 00:00:00+00:00,102.0,0.7950554960598133,1.7863750151851876,1.0344540318708915,2.1656457522740338,0.6995227536445088,1.3408002690364902,70.11200403554736,-0.003431357589422479,False,-0.05568627750172339,True,-0.05568627750172339,False
2016-01-29,2016-01-29 00:00:00+00:00,104.12999725341797,0.31783020906310727,1.6672573429135602,1.0382354118495887,1.5761945204226862,0.5422861092566155,1.0192384139904427,65.28857620985664,-0.057716264912689885,True,-0.07500237937764276,True,-0.07500237937764276,False
2016-02-01,2016-02-01 00:00:00+00:00,104.41000366210938,0.04770208161936179,1.7057314323692416,0.4717700061867435,1.4271427941033596,0.42827967139710943,0.8426904403026251,62.64035660453938,-0.07460971786513171,True,-0.07748303499218279,True,-0.07748303499218279,False
2016-02-02,2016-02-02 00:00:00+00:00,102.1500015258789,0.8492003086098857,2.0369189472838376,0.6453909773619242,1.801121114638534,0.7011383089479568,1.2747309047946564,69.12096357191984,-0.05707294903542126,True,-0.05707294903542126,True,-0.05707294903542126,False
2016-02-03,2016-02-03 00:00:00+00:00,101.66000366210938,0.37569986727014726,1.7905097846410991,1.086526345838732,1.845263096662995,0.5837612586555329,1.1387475842264854,67.08121376339727,-0.05252807175803276,True,-0.05252807175803276,True,-0.05252807175803276,False
2016-02-04,2016-02-04 00:00:00+00:00,101.6500015258789,-0.41390440922099936,1.6866140499332707,0.8727285898886917,1.74228820782334,0.605981792948888,0.8778879772158862,63.16831965823829,-0.05243484260743203,True,-0.05243484260743203,True,-0.05243484260743203,False
2016-02-05,2016-02-05 00:00:00+00:00,98.12000274658203,-0.40646404439930994,1.7499694930880862,0.5576255037890305,2.3072514408349205,0.9573797131021132,1.0724292407258458,66.08643861088768,-0.018344914404525126,False,-0.018344914404525126,False,-0.018344914404525126,False
2016-02-08,2016-02-08 00:00:00+00:00,96.62000274658203,0.4557018020967443,2.2710205573237876,0.8228070052167282,2.5402018724268043,1.304507093159518,1.5463621492492212,73.19543223873832,-0.0031049787127895856,False,-0.0031049787127895856,False,-0.0031049787127895856,False
2016-02-09,2016-02-09 00:00:00+00:00,96.31999969482422,0.456190067740664,2.403582302206526,0.8289860077505878,2.538501078222635,1.2786016693945208,1.5680081815860931,73.52012272379139,0.0023879086136038286,False,0.0023879086136038286,False,0.0023879086136038286,False
2016-02-10,2016-02-10 00:00:00+00:00,96.69000244140625,0.00011908448077616966,2.4234465639213716,0.8231715083044124,2.4341187258112185,1.2134265225667693,1.4182512207010685,71.27376831051603,-0.0014479200135844028,False,-0.0014479200135844028,False,-0.0014479200135844028,False
2016-02-11,2016-02-11 00:00:00+00:00,96.55000305175781,0.2981082707875105,2.3707716944498833,0.7096119130817697,2.2275125928943913,1.3454255514684266,1.4456058564123146,71.68408784618472,0.015225205021698107,False,0.015225205021698107,False,0.015225205021698107,False
