date,btc_equity_raw,btc_return,btc_active,btc_score,btc_direction,btc_active_trades,qqq_equity_raw,qqq_return,qqq_active,qqq_score,position,entry_type,vix_label,ixic_trend_label,rel_strength_label,risk_cash_day,risk_capped_day,avg_leverage_when_active,btc_equity,qqq_equity,selected_strategy,decision_reason,router_return,router_equity,switched
2026-03-04 00:00:00+00:00,1000.0,0.0,True,98.0,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1000.0,1000.0,BTC,best_route_score,0.0,999.0,True
2026-03-05 00:00:00+00:00,965.518,-0.03448200000000001,True,98.0,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,965.518,1000.0,BTC,hold_current_no_challenger,-0.03448200000000001,964.5524819999999,False
2026-03-06 00:00:00+00:00,965.518,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,965.518,1000.0,CASH,no_eligible_candidates,0.0,963.5879295179999,True
2026-03-07 00:00:00+00:00,965.518,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,965.518,1000.0,CASH,no_eligible_candidates,0.0,963.5879295179999,False
2026-03-08 00:00:00+00:00,965.518,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,965.518,1000.0,CASH,no_eligible_candidates,0.0,963.5879295179999,False
2026-03-09 00:00:00+00:00,965.518,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,965.518,1000.0,CASH,no_eligible_candidates,0.0,963.5879295179999,False
2026-03-10 00:00:00+00:00,965.518,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,965.518,1000.0,CASH,no_eligible_candidates,0.0,963.5879295179999,False
2026-03-11 00:00:00+00:00,965.518,0.0,True,112.2,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,965.518,1000.0,BTC,best_route_score,0.0,962.6243415884819,True
2026-03-12 00:00:00+00:00,935.419907386,-0.031173000000000006,True,112.2,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,935.419907386,1000.0,BTC,hold_current_no_challenger,-0.031173000000000006,932.6164529881441,False
2026-03-13 00:00:00+00:00,978.3107809794628,0.045852000000000004,True,119.8,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,978.3107809794628,1000.0,BTC,hold_current_no_challenger,0.045852000000000004,975.3787825905565,False
2026-03-14 00:00:00+00:00,978.3107809794628,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,978.3107809794628,1000.0,CASH,no_eligible_candidates,0.0,974.4034038079659,True
2026-03-15 00:00:00+00:00,978.3107809794628,0.0,True,113.2,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,978.3107809794628,1000.0,BTC,best_route_score,0.0,973.4290004041579,True
2026-03-16 00:00:00+00:00,1049.2196033850985,0.07248087599999997,True,97.4,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1049.2196033850985,1000.0,BTC,hold_current_no_challenger,0.07248087599999997,1043.9839870772557,False
2026-03-17 00:00:00+00:00,1095.7021302542653,0.044302000000000064,True,126.8,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1095.702130254265,1000.0,BTC,hold_current_no_challenger,0.044302000000000064,1090.2345656727523,False
2026-03-18 00:00:00+00:00,1054.7612201573147,-0.03736499999999998,True,115.2,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,BTC,hold_current_no_challenger,-0.03736499999999998,1049.49795112639,False
2026-03-19 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,True
2026-03-20 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-21 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-22 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-23 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-24 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-25 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-26 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-27 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-28 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-29 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-30 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-03-31 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-04-01 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-04-02 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-04-03 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-04-04 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-04-05 00:00:00+00:00,1054.7612201573147,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1054.7612201573145,1000.0,CASH,no_eligible_candidates,0.0,1048.4484531752637,False
2026-04-06 00:00:00+00:00,1026.3902528575234,-0.026897999999999866,True,97.7,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1026.3902528575231,1000.0,BTC,best_route_score,-0.026897999999999866,1019.2270393950738,True
2026-04-07 00:00:00+00:00,931.3885974432839,-0.09255900000000006,True,60.0,BEAR,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,931.3885974432835,1000.0,BTC,hold_current_no_challenger,-0.09255900000000006,924.8884038557051,False
2026-04-08 00:00:00+00:00,928.594431650954,-0.0030000000000000027,True,107.5,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,928.5944316509537,1000.0,BTC,hold_current_no_challenger,-0.0030000000000000027,922.1137386441379,False
2026-04-09 00:00:00+00:00,1272.3563758704106,0.37019599999999997,True,121.6,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1272.3563758704101,1000.0,BTC,hold_current_no_challenger,0.37019599999999997,1263.4765562352432,False
2026-04-10 00:00:00+00:00,1272.3563758704106,0.0,True,124.5,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1272.3563758704101,1000.0,BTC,hold_current_no_challenger,0.0,1263.4765562352432,False
2026-04-11 00:00:00+00:00,1272.3563758704106,0.0,True,124.5,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1272.3563758704101,1000.0,BTC,hold_current_no_challenger,0.0,1263.4765562352432,False
2026-04-12 00:00:00+00:00,1237.1655432265868,-0.02765799999999996,True,124.5,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1237.1655432265864,1000.0,BTC,hold_current_no_challenger,-0.02765799999999996,1228.5313216428888,False
2026-04-13 00:00:00+00:00,1237.1655432265868,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1237.1655432265864,1000.0,CASH,no_eligible_candidates,0.0,1227.302790321246,True
2026-04-14 00:00:00+00:00,1237.1655432265868,0.0,True,113.4,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1237.1655432265864,1000.0,BTC,best_route_score,0.0,1226.0754875309246,True
2026-04-15 00:00:00+00:00,1200.469976048943,-0.02966100000000005,True,113.4,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1200.4699760489425,1000.0,BTC,hold_current_no_challenger,-0.02966100000000005,1189.7088624952698,False
2026-04-16 00:00:00+00:00,1296.20025381899,0.07974400000000004,True,121.6,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1296.2002538189895,1000.0,BTC,hold_current_no_challenger,0.07974400000000004,1284.5810060260926,False
2026-04-17 00:00:00+00:00,1845.284939539506,0.42361099999999996,True,110.3,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1845.2849395395053,1000.0,BTC,hold_current_no_challenger,0.42361099999999996,1828.7436505698117,False
2026-04-18 00:00:00+00:00,1845.284939539506,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1845.2849395395053,1000.0,CASH,no_eligible_candidates,0.0,1826.914906919242,True
2026-04-19 00:00:00+00:00,1955.142133130051,0.059533999999999976,True,60.0,BEAR,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1955.14213313005,1000.0,BTC,best_route_score,0.059533999999999976,1933.7427805287844,True
2026-04-20 00:00:00+00:00,1955.142133130051,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1955.14213313005,1000.0,CASH,no_eligible_candidates,0.0,1931.8090377482556,True
2026-04-21 00:00:00+00:00,1955.142133130051,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1955.14213313005,1000.0,CASH,no_eligible_candidates,0.0,1931.8090377482556,False
2026-04-22 00:00:00+00:00,1955.142133130051,0.0,True,114.5,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1955.14213313005,1000.0,BTC,best_route_score,0.0,1929.8772287105073,True
2026-04-23 00:00:00+00:00,1891.0115160212522,-0.03280099999999997,True,114.5,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1891.0115160212513,1000.0,BTC,hold_current_no_challenger,-0.03280099999999997,1866.5753257315741,False
2026-04-24 00:00:00+00:00,1891.0115160212522,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1891.0115160212513,1000.0,CASH,no_eligible_candidates,0.0,1864.7087504058425,True
2026-04-25 00:00:00+00:00,1891.0115160212522,0.0,False,0.0,,0,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1891.0115160212513,1000.0,CASH,no_eligible_candidates,0.0,1864.7087504058425,False
2026-04-26 00:00:00+00:00,1891.0115160212522,0.0,True,105.1,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1891.0115160212513,1000.0,BTC,best_route_score,0.0,1862.8440416554365,True
2026-04-27 00:00:00+00:00,1837.3597372886973,-0.028371999999999953,True,105.1,BULL,1,1000.0,0.0,False,0.0,CASH,leveraged_contract,,,,False,False,0.0,1837.3597372886966,1000.0,BTC,hold_current_no_challenger,-0.028371999999999953,1809.9914305055886,False
2026-04-28 00:00:00+00:00,1837.3597372886973,0.0,False,0.0,,0,1055.465531116453,0.05546553111645314,True,106.0,QQQ_USDT_LONG,leveraged_contract,,,,False,False,10.0,1837.3597372886966,1055.4655311164531,QQQ_PROXY,best_route_score,0.05546553111645314,1908.473182948295,True
2026-04-29 00:00:00+00:00,1837.3597372886973,0.0,False,0.0,,0,1150.5147374533324,0.0900542969284257,True,106.0,QQQ_USDT_LONG,leveraged_contract,,,,False,False,10.0,1837.3597372886966,1150.5147374533326,QQQ_PROXY,hold_current_no_challenger,0.0900542969284257,2080.3393936454586,False
2026-04-30 00:00:00+00:00,1837.3597372886973,0.0,False,0.0,,0,1162.8028711369702,0.01068055304605453,True,106.0,QQQ_USDT_LONG,leveraged_contract,,,,False,False,10.0,1837.3597372886966,1162.8028711369705,QQQ_PROXY,hold_current_no_challenger,0.01068055304605453,2102.558568893086,False
2026-05-01 00:00:00+00:00,1837.3597372886973,0.0,False,0.0,,0,1244.1278970426315,0.06993879007724058,True,112.0,QQQ_USDT_LONG,leveraged_contract,,,,False,False,10.0,1837.3597372886966,1244.1278970426317,QQQ_PROXY,hold_current_no_challenger,0.06993879007724058,2249.6089712680027,False
2026-05-02 00:00:00+00:00,1837.3597372886973,0.0,True,111.1,BULL,1,1253.4710849600958,0.00750982912582665,True,112.0,QQQ_USDT_LONG,leveraged_contract,,,,False,False,10.0,1837.3597372886966,1253.4710849600958,QQQ_PROXY,hold_current_hysteresis,0.00750982912582665,2266.503150242152,False
