trade_id,direction,entry_time,exit_time,entry_price,signal_entry_price,initial_stop_price,final_stop_price_at_exit,target_price,entry_regime_score,target_rr,trail_style,risk_regime,risk_per_trade,notional,original_exit_reason,original_signal_exit_price,original_exit_price,gross_pnl,fees,slippage_cost,pnl,pnl_pct,rr_ratio,obi_start_timestamp_ms,obi_end_timestamp_ms,stop_update_count
1,BULL,2023-01-06 17:15,2023-01-11 23:15,16835.513549999996,16827.1,16609.75,17061.277099999992,17682.12686249998,2,5.0,normal,bull_weak,0.025,1864.2860583562194,target_rr,17682.12686249998,17673.28579906873,92.77098197082174,1.9106715493416304,1.9106952197605949,90.86031042148011,0.09086031042148011,3.6344124168592042,1673025300000,1673478900000,3
2,BULL,2023-01-12 10:15,2023-01-12 14:30,18185.188049999997,18176.1,17972.5,17972.5,19354.97232499998,3,5.5,loose,bull_strong,0.06,5454.3015521074,stop_loss,17972.5,17963.513750000002,-66.48699343817317,5.421058055388314,5.421042788899626,-71.90805149356149,-0.06591866145150893,-1.098644357525149,1673518500000,1673533800000,0
3,BULL,2023-01-12 17:00,2023-01-13 17:15,18157.2741,18148.2,17923.22375,18508.349624999995,19327.525849999987,3,5.5,loose,bull_strong,0.06,4742.92701382465,target_rr,19327.525849999987,19317.862087074987,303.16137133262407,4.894507699490962,4.894584713479427,298.2668636331331,0.29271917405330833,4.878652900888472,1673542800000,1673630100000,2
4,BULL,2023-01-14 06:30,2023-01-14 09:15,20964.6771,20954.2,20660.6725,20660.6725,22636.702400000002,4,5.5,loose,bull_strong,0.06,5450.260997584463,stop_loss,20660.6725,20650.342163750003,-81.71876127877783,5.409401616945074,5.409382539599715,-87.12816289572291,-0.06614553448504511,-1.1024255747507516,1673677800000,1673687700000,0
5,BULL,2023-01-14 19:30,2023-01-18 15:45,20834.8122,20824.4,20502.37625,20834.8122,22496.991949999996,4,5.5,loose,bull_strong,0.06,4625.621410718962,stop_loss,20834.8122,20824.394793900003,-2.3128107053589493,4.624465005366282,4.624465583279214,-6.937275710725231,-0.005639644496381518,-0.09399407493969196,1673724600000,1674056700000,1
6,BULL,2023-01-19 18:30,2023-01-20 22:15,20964.276899999997,20953.8,20613.37125,21490.63537499999,22718.805149999982,4,5.5,loose,bull_strong,0.06,4384.517465879438,target_rr,22718.805149999982,22707.445747424983,364.5703734008484,4.566802652579862,4.566894936896281,360.00357074826854,0.29432407020541645,4.905401170090275,1674153000000,1674252900000,2
7,BULL,2023-01-21 05:15,2023-01-27 01:30,22630.3095,22619.0,22280.07375,22630.3095,24381.48825,4,5.5,loose,bull_strong,0.06,6137.695308562249,stop_loss,22630.3095,22618.99434525,-3.068847654280671,6.136160884735109,6.136161651562988,-9.205008539015779,-0.005814336201708136,-0.09690560336180228,1674278100000,1674783000000,1
8,BULL,2023-01-27 13:30,2023-01-30 12:00,22975.482,22964.0,22712.401250000003,22975.482,24290.885749999987,4,5.5,loose,bull_strong,0.06,7869.761230819282,stop_loss,22975.482,22963.994259000003,-3.934880615408677,7.867793790511579,7.867794773739143,-11.802674405920255,-0.007498749999999388,-0.12497916666665647,1674826200000,1675080000000,1
9,BULL,2023-01-31 04:45,2023-02-05 17:45,22874.731649999998,22863.3,22516.579999999998,22874.731649999998,24665.489899999997,4,5.5,loose,bull_strong,0.06,5986.361182665258,stop_loss,22874.731649999998,22863.294284175,-2.9931805913318335,5.984864592369592,5.984865340289624,-8.978045183701425,-0.005747237874026459,-0.09578729790044099,1675140300000,1675619100000,1
10,BULL,2023-02-07 09:30,2023-02-08 15:00,22973.581049999997,22962.1,22637.2525,22973.581049999997,24234.813112499993,2,5.0,normal,bull_weak,0.025,2652.310660982065,stop_loss,22973.581049999997,22962.094259474998,-1.326155330490961,2.65164758331682,2.651647914689722,-3.977802913807781,-0.0025610841080646474,-0.1024433643225859,1675762200000,1675868400000,1
